Nameservice Startzeit: 31.10 19:04:40,505| mit PID <0.877.0> registriert mit Namen 'nameservice'.
rebind um 31.10 19:04:50,605| von <9128.55.0>: {chef,zwei@IDBM-PC}.
rebind um 31.10 19:04:58,375| von <9128.55.0>: {chef,zwei@IDBM-PC}.
lookup um 31.10 19:05:08,095| von <9130.1532.0>:{chef,zwei@IDBM-PC}.
rebind um 31.10 19:05:08,255| von <9130.70.0>: {1161,drei@IDBM-PC}.
rebind um 31.10 19:05:08,565| von <9130.1543.0>: {116111,drei@IDBM-PC}.
rebind um 31.10 19:05:08,565| von <9130.1544.0>: {116121,drei@IDBM-PC}.
rebind um 31.10 19:05:08,725| von <9130.1545.0>: {116131,drei@IDBM-PC}.
lookup um 31.10 19:05:09,735| von <9130.1583.0>:{chef,zwei@IDBM-PC}.
rebind um 31.10 19:05:09,735| von <9130.70.0>: {1162,drei@IDBM-PC}.
rebind um 31.10 19:05:09,895| von <9130.1591.0>: {116212,drei@IDBM-PC}.
rebind um 31.10 19:05:09,895| von <9130.1592.0>: {116222,drei@IDBM-PC}.
rebind um 31.10 19:05:09,895| von <9130.1593.0>: {116232,drei@IDBM-PC}.
lookup um 31.10 19:05:12,055| von <9130.1634.0>:{chef,zwei@IDBM-PC}.
rebind um 31.10 19:05:12,055| von <9130.70.0>: {1163,drei@IDBM-PC}.
rebind um 31.10 19:05:12,045| von <9130.1644.0>: {116313,drei@IDBM-PC}.
rebind um 31.10 19:05:12,045| von <9130.1645.0>: {116323,drei@IDBM-PC}.
rebind um 31.10 19:05:12,045| von <9130.1646.0>: {116333,drei@IDBM-PC}.
lookup um 31.10 19:05:23,825| von <9223.564.0>:{chef,zwei@IDBM-PC}.
rebind um 31.10 19:05:23,825| von <9223.56.0>: {1164,vier@IDBM-PC}.
rebind um 31.10 19:05:23,975| von <9223.572.0>: {116414,vier@IDBM-PC}.
rebind um 31.10 19:05:23,975| von <9223.573.0>: {116424,vier@IDBM-PC}.
rebind um 31.10 19:05:23,975| von <9223.574.0>: {116434,vier@IDBM-PC}.
lookup um 31.10 19:05:25,305| von <9223.615.0>:{chef,zwei@IDBM-PC}.
rebind um 31.10 19:05:25,305| von <9223.56.0>: {1165,vier@IDBM-PC}.
rebind um 31.10 19:05:25,615| von <9223.623.0>: {116515,vier@IDBM-PC}.
rebind um 31.10 19:05:25,615| von <9223.624.0>: {116525,vier@IDBM-PC}.
rebind um 31.10 19:05:25,615| von <9223.625.0>: {116535,vier@IDBM-PC}.
lookup um 31.10 19:05:33,550| von <9128.919.0>:{116535,vier@IDBM-PC}.
lookup um 31.10 19:05:33,550| von <9128.919.0>:{116525,vier@IDBM-PC}.
lookup um 31.10 19:05:33,355| von <9128.919.0>:{116515,vier@IDBM-PC}.
lookup um 31.10 19:05:33,355| von <9128.919.0>:{116434,vier@IDBM-PC}.
lookup um 31.10 19:05:33,955| von <9128.919.0>:{116424,vier@IDBM-PC}.
lookup um 31.10 19:05:33,955| von <9128.919.0>:{116414,vier@IDBM-PC}.
lookup um 31.10 19:05:33,955| von <9128.919.0>:{116333,drei@IDBM-PC}.
lookup um 31.10 19:05:33,955| von <9128.919.0>:{116323,drei@IDBM-PC}.
lookup um 31.10 19:05:33,555| von <9128.919.0>:{116313,drei@IDBM-PC}.
lookup um 31.10 19:05:33,555| von <9128.919.0>:{116232,drei@IDBM-PC}.
lookup um 31.10 19:05:33,055| von <9128.919.0>:{116222,drei@IDBM-PC}.
lookup um 31.10 19:05:33,055| von <9128.919.0>:{116212,drei@IDBM-PC}.
lookup um 31.10 19:05:33,655| von <9128.919.0>:{116131,drei@IDBM-PC}.
lookup um 31.10 19:05:33,655| von <9128.919.0>:{116121,drei@IDBM-PC}.
lookup um 31.10 19:05:33,655| von <9128.919.0>:{116111,drei@IDBM-PC}.
lookup um 31.10 19:05:33,015| von <9128.919.0>:{116424,vier@IDBM-PC}.
lookup um 31.10 19:05:33,015| von <9128.919.0>:{116131,drei@IDBM-PC}.
lookup um 31.10 19:05:33,015| von <9128.919.0>:{116414,vier@IDBM-PC}.
lookup um 31.10 19:05:33,175| von <9128.919.0>:{116111,drei@IDBM-PC}.
lookup um 31.10 19:05:33,175| von <9128.919.0>:{116232,drei@IDBM-PC}.
lookup um 31.10 19:05:33,335| von <9128.919.0>:{116222,drei@IDBM-PC}.
lookup um 31.10 19:05:33,335| von <9128.919.0>:{116212,drei@IDBM-PC}.
lookup um 31.10 19:05:33,485| von <9128.919.0>:{116121,drei@IDBM-PC}.
lookup um 31.10 19:05:33,645| von <9128.919.0>:{116525,vier@IDBM-PC}.
lookup um 31.10 19:05:33,795| von <9128.919.0>:{116313,drei@IDBM-PC}.
lookup um 31.10 19:05:33,795| von <9128.919.0>:{116515,vier@IDBM-PC}.
lookup um 31.10 19:05:33,795| von <9128.919.0>:{116434,vier@IDBM-PC}.
